YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,ITEMS,TOTAL_QUANTITY,NIC
202101,0308000B0,Benzoin,3.0,800.0,18.77
202101,0308000M0,Menthol,24.0,3200.0,63.88
202101,0309010C0,Codeine phosphate,7234.0,2098421.0,18071.85
202101,0309010L0,Dextromethorphan hydrobromide,79.0,34387.0,13647.71
202101,0309010X0,Pholcodine,2626.0,669673.0,4282.45
202101,030902000,Other expectorantand demulcent cough preparations,6.0,820.0,21.43
202101,0309020D0,Simple,3495.0,814730.0,3869.31
202101,0309020G0,Guaifenesin,78.0,17475.0,399.55
202101,0309020H0,Glycerol,4.0,600.0,9.97
202101,0309020I0,Squill,6.0,900.0,16.86
202101,0310000E0,Ephedrine hydrochloride,38.0,1696.0,1865.6
202101,0310000N0,Pseudoephedrine hydrochloride,1610.0,169870.0,9288.96
202101,0310000Q0,Phenylephrine hydrochloride,1.0,24.0,3.34
202101,0401010AC,Sodium oxybate,150.0,74520.0,149040.0
202101,0401010AD,Melatonin,119082.0,7635696.0,4706142.49
202101,0401010B0,Chloral hydrate,1116.0,329992.0,148737.75
202101,0401010C0,Cloral betaine,43.0,2218.0,10246.46
202101,0401010D0,Clomethiazole edisilate,41.0,12900.0,1290.0
202101,0401010F0,Clomethiazole,678.0,31104.0,17003.63
202101,0401010N0,Loprazolam mesilate,1171.0,36577.0,29388.15
202101,0401010P0,Lormetazepam,1133.0,37515.0,22611.95
202101,0401010R0,Nitrazepam,29118.0,862955.0,245194.81
202101,0401010T0,Temazepam,62494.0,1643128.0,170196.03
202101,0401010Y0,Zolpidem tartrate,51374.0,1086464.0,68098.72
202101,0401010Z0,Zopiclone,429568.0,7888513.0,370337.64
202101,0401020B0,Buspirone hydrochloride,16009.0,830033.0,222479.05
202101,0401020E0,Chlordiazepoxide hydrochloride,3208.0,140439.0,22564.36
202101,0401020K0,Diazepam,378498.0,11203054.0,901961.88
202101,0401020P0,Lorazepam,91246.0,2700818.0,602676.98
202101,0401020T0,Oxazepam,5077.0,226028.0,49834.32
202101,0401030E0,Amobarbital sodium,92.0,3778.0,5684.81
