YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,PREP_CLASS,PRESCRIBED_PREP_CLASS,ITEMS,NIC
202602,090601100,Other vitamin A preparations 0906011,05,05,7.0,83.63
202602,0906011D0,Vitamin A,01,01,1408.0,7135.48
202602,0906011D0,Vitamin A,03,03,5.0,594.24
202602,0906011D0,Vitamin A,05,05,8.0,298.65
202602,0906011H0,Cod liver oil,03,02,285.0,506.67
202602,0906011H0,Cod liver oil,03,03,4.0,10.21
202602,0906022K0,Nicotinamide,03,01,87.0,19069.85
202602,0906022K0,Nicotinamide,03,02,145.0,16685.69
202602,0906022K0,Nicotinamide,03,03,5.0,352.11
202602,0906022K0,Nicotinamide,05,01,40.0,297.29999999999995
202602,0906022K0,Nicotinamide,05,05,53.0,7025.889999999999
202602,0906023N0,Pantothenic acid (Calcium pantothenate),03,02,1.0,19.79
202602,0906024N0,Pyridoxine hydrochloride,01,01,6904.0,84592.36
202602,0906024N0,Pyridoxine hydrochloride,03,01,144.0,5423.790000000001
202602,0906024N0,Pyridoxine hydrochloride,03,02,2.0,352.34
202602,0906024N0,Pyridoxine hydrochloride,03,03,132.0,1006.41
202602,0906024N0,Pyridoxine hydrochloride,05,01,10.0,960.49
202602,0906024N0,Pyridoxine hydrochloride,05,05,100.0,15738.63
202602,0906025P0,Riboflavin,03,01,245.0,43271.97
202602,0906025P0,Riboflavin,03,02,594.0,83069.9
202602,0906025P0,Riboflavin,03,03,67.0,2499.16
202602,0906025P0,Riboflavin,05,01,142.0,1906.58
202602,0906025P0,Riboflavin,05,05,131.0,40096.41
202602,0906026M0,Thiamine hydrochloride,01,01,310781.0,354368.84
202602,0906026M0,Thiamine hydrochloride,03,02,95.0,1332.45
202602,0906026M0,Thiamine hydrochloride,03,03,26.0,392.89
202602,0906026M0,Thiamine hydrochloride,05,01,1.0,8.1
202602,0906026M0,Thiamine hydrochloride,05,05,478.0,15721.759999999998
202602,0906026V0,Vitamin B and C injection,03,03,1.0,11.27
202602,090602700,Other vitamin B compound preparations,03,03,26.0,49.2
202602,0906027G0,Vitamin B compound,01,01,59840.0,155190.76
202602,0906027G0,Vitamin B compound,03,01,1.0,1.53
202602,0906027G0,Vitamin B compound,03,03,3.0,15.499999999999998
202602,0906027G0,Vitamin B compound,05,05,138.0,345.59000000000003
202602,090602800,Other vitamin B preparations,01,01,20.0,3249.46
202602,090602800,Other vitamin B preparations,03,01,5.0,365.86
202602,090602800,Other vitamin B preparations,03,02,5.0,373.61
202602,090602800,Other vitamin B preparations,03,03,84.0,3277.8900000000003
202602,090602800,Other vitamin B preparations,05,05,72.0,11373.36
202602,0906031C0,Ascorbic acid,01,01,4705.0,258999.85000000003
202602,0906031C0,Ascorbic acid,03,01,3.0,20.37
202602,0906031C0,Ascorbic acid,03,02,3.0,45.58
202602,0906031C0,Ascorbic acid,03,03,866.0,2001.58
202602,0906031C0,Ascorbic acid,05,05,8.0,2604.78
202602,0906040B0,Alfacalcidol,01,01,58586.0,304682.53
202602,0906040B0,Alfacalcidol,03,01,1.0,10.11
202602,0906040B0,Alfacalcidol,03,02,888.0,32392.89
202602,0906040B0,Alfacalcidol,03,03,4749.0,35105.14
