YEAR_MONTH,BNF_CHAPTER_CODE,BNF_CHAPTER,ITEMS,TOTAL_QUANTITY,NIC
202112,10,Musculoskeletal and Joint Diseases,2585748.0,170354480.0,12509866.52
202112,11,Eye,1430084.0,23748869.0,14273196.99
202112,12,"Ear, Nose and Oropharynx",893689.0,21979847.4,5802950.220000001
202112,13,Skin,2087954.0,383043630.82,20444729.28
202112,14,Immunological Products and Vaccines,1495240.0,1495756.0,16198870.4
202112,15,Anaesthesia,128162.0,7824206.0,1888437.23
202112,18,Preparations used in Diagnosis,7.0,4300.0,752.5
202112,19,Other Drugs and Preparations,78656.0,52056744.0,2195676.93
202112,2,Cardiovascular System,29540480.0,1050325406.0,144750390.19
202112,20,Dressings,463015.0,12928928.5,13598310.73
202112,21,Appliances,2860695.0,514619266.5,49031166.17
202112,22,Incontinence Appliances,203666.0,3936792.0,5227486.64
202112,23,Stoma Appliances,592021.0,55291010.0,33000469.01
202112,3,Respiratory System,6556508.0,124715548.0,95432450.74
202112,4,Central Nervous System,19670233.0,1376672649.8000002,134437816.98000002
202112,5,Infections,3631367.0,138650276.0,17429373.39
202112,6,Endocrine System,10666022.0,527343609.5,139638999.69
202112,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2748961.0,117098761.0,20569352.47
202112,8,Malignant Disease and Immunosuppression,402364.0,16634388.0,14509509.87
202112,9,Nutrition and Blood,5442994.0,2771061778.5,61724488.36
202201,1,Gastro-Intestinal System,8891457.0,694321030.0,49168674.15
202201,10,Musculoskeletal and Joint Diseases,2473513.0,162919198.0,11449589.21
202201,11,Eye,1307417.0,21951437.0,12606410.39
202201,12,"Ear, Nose and Oropharynx",860719.0,21427688.4,5980514.74
202201,13,Skin,2159650.0,388877250.0,20561421.99
202201,14,Immunological Products and Vaccines,654243.0,654792.0,7202462.279999999
202201,15,Anaesthesia,128424.0,10874718.5,1783333.33
202201,18,Preparations used in Diagnosis,10.0,7700.0,1347.5
202201,19,Other Drugs and Preparations,77232.0,49136053.0,2102235.49
202201,2,Cardiovascular System,27661020.0,977150970.0,130789508.49
202201,20,Dressings,477082.0,12704398.1,13966244.88
202201,21,Appliances,2783793.0,516805491.5,47585090.34
202201,22,Incontinence Appliances,206926.0,3926340.0,5248356.54
202201,23,Stoma Appliances,565774.0,52944051.8,30701449.1
202201,3,Respiratory System,6058388.0,118413548.0,87843870.91
202201,4,Central Nervous System,18609084.0,1290039072.6,118903565.86
202201,5,Infections,3195796.0,116009043.5,15501988.78
202201,6,Endocrine System,9981625.0,492705105.5,128721573.73
202201,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2653412.0,114995230.0,19765684.84
202201,8,Malignant Disease and Immunosuppression,378732.0,15431431.0,13802080.16
202201,9,Nutrition and Blood,5212410.0,2636853968.5,58693193.25
202202,1,Gastro-Intestinal System,8352497.0,650358941.0,47049324.31
202202,10,Musculoskeletal and Joint Diseases,2343318.0,153798533.0,10822628.11
202202,11,Eye,1233605.0,20591290.5,11863750.8
