YEAR_MONTH,ORG_CODE,ORG_NAME,ITEMS,TOTAL_QUANTITY,NIC
202106,QMF,EAST LONDON HEALTH & CARE P/SHIP STP,2708098.0,229106338.0,21520821.56
202106,QMJ,NORTH LONDON PARTNERS IN H&C STP,1732702.0,151433005.6,15170972.07
202106,QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP,2034859.0,136902094.4,15355015.27
202106,QNC,STAFFORDSHIRE & STOKE ON TRENT STP,2245820.0,187572574.7,20269592.66
202106,QNQ,FRIMLEY HEALTH & CARE ICS STP,907052.0,71631598.30000001,8471611.49
202106,QNX,SUSSEX & EAST SURREY STP,2693835.0,192219722.0,27038676.17
202106,QOC,SHROPSHIRE & TELFORD & WREKIN STP,783337.0,58701437.6,7458073.859999999
202106,QOP,GREATER MANCHESTER HSC PARTNERSHIP STP,5526434.0,466868616.3,51409013.29
202106,QOQ,"HUMBER, COAST & VALE STP",3313885.0,233781210.1,25949659.16
202106,QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP",1423290.0,99125372.5,11152815.56
202106,QPM,NORTHAMPTONSHIRE STP,1317524.0,78742597.9,9665774.72
202106,QR1,GLOUCESTERSHIRE STP,1070867.0,58785649.3,9759342.73
202106,QRL,HAMPSHIRE & THE ISLE OF WIGHT STP,2582156.0,210312115.9,24696952.61
202106,QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP,3653217.0,271152816.71000004,29782165.37
202106,QSL,SOMERSET STP,910660.0,63621508.4,8007512.32
202106,QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,1735658.0,129469956.7,17256281.61
202106,QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP,1109550.0,69799327.5,8510765.2
202106,QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",2268639.0,165091296.6,21804051.36
202106,QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP,2356109.0,219485416.1,21536824.43
202106,QUE,CAMBRIDGESHIRE & PETERBOROUGH STP,1711569.0,109423127.0,26453627.24
202106,QUY,"BRISTOL, N SOMERSET & S GLOUCS STP",1374663.0,106046277.9,11883876.58
202106,QVV,DORSET STP,1311658.0,104099821.71,11963082.58
202106,QWE,SW LONDON HEALTH & CARE PARTNERSHIP STP,1910279.0,129355921.3,15220960.34
202106,QWO,W YORKSHIRE & HARROGATE H&C P/SHIP STP,5466171.0,433805349.7,46162632.74
202106,QWU,COVENTRY & WARWICKSHIRE STP,1619372.0,118221258.1,12945127.44
202106,QXU,SURREY HEARTLANDS H&C PARTNERSHIP STP,1142312.0,98019129.8,11745355.12
202106,QYG,CHESHIRE & MERSEYSIDE STP,4926348.0,451984282.4,42688512.65
202107,QE1,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP,3305671.0,238970322.1,25911136.48
202107,QF7,SOUTH YORKSHIRE & BASSETLAW STP,3171919.0,203267629.4,22905383.22
202107,QGH,HEREFORDSHIRE & WORCESTERSHIRE STP,1301528.0,502359609.1,18218920.89
202107,QH8,MID AND SOUTH ESSEX STP,1796368.0,118207960.94,16243393.11
202107,QHG,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP",1283739.0,101477547.2,10853378.83
202107,QHL,BIRMINGHAM & SOLIHULL STP,1684812.0,170717322.6,15909484.39
